,NOC,Name,Year,Sport,Medal
78040,BUL,Maya Vladimirova Georgieva (-Stoeva),1980,Volleyball,Bronze
78057,YUG,Blagoja Georgievski,1976,Basketball,Silver
78078,BRA,Geovani Faria da Silva,1988,Football,Silver
78090,USA,Agnes Geraghty (-McAndrews),1924,Swimming,Silver
78098,USA,"George Pierce ""Gerry"" Geran",1920,Ice Hockey,Silver
78110,FRA,Vincent Grard,2016,Handball,Silver
78113,HUN,va Grard-Novk,1948,Swimming,Bronze
78114,HUN,va Grard-Novk,1952,Swimming,Silver
78115,HUN,va Grard-Novk,1952,Swimming,Gold
78116,HUN,va Grard-Novk,1952,Swimming,Silver
78127,BLR,Aleksandra Viktorovna Gerasimenya,2012,Swimming,Silver
78128,BLR,Aleksandra Viktorovna Gerasimenya,2012,Swimming,Silver
78131,BLR,Aleksandra Viktorovna Gerasimenya,2016,Swimming,Bronze
78135,URS,Aleksandr Petrovich Gerasimov,1984,Ice Hockey,Gold
78136,RUS,Aleksandr Georgiyevich Gerasimov,2000,Volleyball,Silver
78142,RUS,Irina Aleksandrovna Gerasimyonok,1996,Shooting,Silver
78150,BUL,Lyubomir Stilyanov Geraskov,1988,Gymnastics,Gold
78166,ISR,Yarden Gerbi,2016,Judo,Bronze
78182,HUN,Oszkr Gerde,1908,Fencing,Gold
78184,HUN,Oszkr Gerde,1912,Fencing,Gold
78190,GER,"Alfred ""Fredy"" Gerdes",1936,Hockey,Silver
78218,CMR,Geremi Sorele Njitap Fotso,2000,Football,Gold
78225,HUN,Gyrgy Gerends,1976,Water Polo,Gold
78226,HUN,Gyrgy Gerends,1980,Water Polo,Bronze
78230,HUN,Aladr Gerevich (-Gerei),1932,Fencing,Gold
78232,HUN,Aladr Gerevich (-Gerei),1936,Fencing,Bronze
78233,HUN,Aladr Gerevich (-Gerei),1936,Fencing,Gold
78235,HUN,Aladr Gerevich (-Gerei),1948,Fencing,Gold
78236,HUN,Aladr Gerevich (-Gerei),1948,Fencing,Gold
78237,HUN,Aladr Gerevich (-Gerei),1952,Fencing,Bronze
78238,HUN,Aladr Gerevich (-Gerei),1952,Fencing,Silver
78239,HUN,Aladr Gerevich (-Gerei),1952,Fencing,Gold
78241,HUN,Aladr Gerevich (-Gerei),1956,Fencing,Gold
78243,HUN,Aladr Gerevich (-Gerei),1960,Fencing,Gold
78244,HUN,Pl Gerevich,1972,Fencing,Bronze
78246,HUN,Pl Gerevich,1980,Fencing,Bronze
78259,GER,"Mathilde ""Hilde"" Gerg (-Gral)",1998,Alpine Skiing,Gold
78260,GER,"Mathilde ""Hilde"" Gerg (-Gral)",1998,Alpine Skiing,Bronze
78279,HUN,Istvn Gergely,2004,Water Polo,Gold
78280,HUN,Istvn Gergely,2008,Water Polo,Gold
78290,GER,Friedrich Wilhelm Gerhard,1936,Equestrianism,Silver
78291,GER,Friedrich Wilhelm Gerhard,1936,Equestrianism,Gold
78295,USA,"Robert Buchanan ""Bob"" Gerhardt",1924,Rowing,Bronze
78297,GDR,Hans-Jrgen Gerhardt,1980,Bobsleigh,Silver
78298,GDR,Hans-Jrgen Gerhardt,1980,Bobsleigh,Gold
78304,SCG,Andrija Geri,1996,Volleyball,Bronze
78305,SCG,Andrija Geri,2000,Volleyball,Gold
78314,ITA,Marco Gerini,1996,Water Polo,Bronze
78316,FRA,Gilbert Antonin Jules Claude Marie Grints,1924,Rugby,Silver
78322,AUT,Andreas Geritzer,2004,Sailing,Silver
78328,GDR,Ernst Gerlach,1980,Handball,Gold
78339,URS,Irina Yakovlevna Gerlits,1988,Basketball,Bronze
78340,EUN,Irina Yakovlevna Gerlits,1992,Basketball,Gold
78363,BUL,Silviya Germanova,1980,Basketball,Silver
78370,GER,Manfred Germar,1956,Athletics,Bronze
78374,GDR,Bernhard Germeshausen,1976,Bobsleigh,Gold
78375,GDR,Bernhard Germeshausen,1976,Bobsleigh,Gold
78376,GDR,Bernhard Germeshausen,1980,Bobsleigh,Silver
78377,GDR,Bernhard Germeshausen,1980,Bobsleigh,Gold
78378,ITA,Ezio Germignani,1906,Rowing,Bronze
78382,FRA,Marie Claude Maurice Germot,1906,Tennis,Silver
78383,FRA,Marie Claude Maurice Germot,1906,Tennis,Gold
78386,FRA,Marie Claude Maurice Germot,1912,Tennis,Gold
78403,SUI,Albert Geromini,1928,Ice Hockey,Bronze
78416,BUL,Atanas Ivanov Gerov,1968,Football,Silver
78417,BUL,Rangel Ivanov Gerovski,1988,Wrestling,Silver
78427,GER,"Timothus ""Tim"" Gerresheim",1960,Fencing,Bronze
78448,NED,Annette Albertine Gerritsen,2010,Speed Skating,Silver
78455,GDR,Kerstin Gerschau (-Kurrat),1976,Gymnastics,Bronze
78460,SUI,Hans Gerschwiler,1948,Figure Skating,Silver
78467,USA,"Samuel Norton ""Sam"" Gerson",1920,Wrestling,Silver
78470,GER,Georg Gerstacker,1912,Wrestling,Silver
78488,FRG,Thomas Gerull,1988,Fencing,Silver
78494,FRA,Pierre Gervais,1900,Sailing,Gold
78495,FRA,Pierre Gervais,1900,Sailing,Bronze
78498,DEN,Willy Viggo Gervin,1932,Cycling,Bronze
78507,CAN,Marcel Gery,1992,Swimming,Bronze
78516,GDR,Hans-Jrgen Geschke,1972,Cycling,Silver
78517,GDR,Hans-Jrgen Geschke,1976,Cycling,Bronze
78524,BUL,Vanya Atanasova Gesheva (-Tsvetkova),1980,Canoeing,Silver
78525,BUL,Vanya Atanasova Gesheva (-Tsvetkova),1988,Canoeing,Gold
78526,BUL,Vanya Atanasova Gesheva (-Tsvetkova),1988,Canoeing,Silver
78527,BUL,Vanya Atanasova Gesheva (-Tsvetkova),1988,Canoeing,Bronze
78534,POL,Dariusz Jan Gsior,1992,Football,Silver
78542,URU,Jos Alvaro Pelegrn Gestido Pose,1928,Football,Gold
78544,USA,Marjorie Gestring (-Redlick),1936,Diving,Gold
78557,BUL,Valentin Dochev Getsov,1992,Wrestling,Silver
78561,CAN,Ryan Getzlaf,2010,Ice Hockey,Gold
78562,CAN,Ryan Getzlaf,2014,Ice Hockey,Gold
78576,NED,"Antonius Johannes ""Toon"" Geurts",1964,Canoeing,Silver
78588,BEL,Kim Gevaert,2008,Athletics,Silver
78593,BEL,Ernest Jules Henri Jean Marie Gevers,1920,Fencing,Silver
78595,BEL,Ernest Jules Henri Jean Marie Gevers,1924,Fencing,Silver
78596,BEL,Robert Gevers,1920,Hockey,Bronze
78612,GDR,Ute Geweniger (-Strauss),1980,Swimming,Gold
78614,GDR,Ute Geweniger (-Strauss),1980,Swimming,Gold
78617,FRG,Matthias Gey,1984,Fencing,Silver
78619,FRG,Matthias Gey,1988,Fencing,Silver
78622,GDR,Manfred Geyer,1976,Biathlon,Bronze
78627,FRA,Arnaud Pascal Geyre,1956,Cycling,Silver
78628,FRA,Arnaud Pascal Geyre,1956,Cycling,Gold
78632,URS,Leonid Grigoryevich Geyshtor,1960,Canoeing,Gold
78642,USA,"Siamak ""Matt"" Ghaffari",1996,Wrestling,Silver
78675,MAR,Jaouad Gharib,2008,Athletics,Silver
78680,IRI,Komeil Nemat Ghasemi,2012,Wrestling,Bronze
78681,IRI,Komeil Nemat Ghasemi,2016,Wrestling,Silver
78734,ITA,Mario Ghella (-Ghella Bayotto),1948,Cycling,Gold
78741,ROU,Ionu Gheorghe,2004,Boxing,Bronze
78744,ROU,Marin Gheorghe,1988,Rowing,Silver
78745,ROU,Marin Gheorghe,1992,Rowing,Silver
78797,ROU,Marius Costel Gherman,1988,Gymnastics,Bronze
78811,ROU,Simona Cristina Gherman (Alexandru-),2016,Fencing,Gold
78821,ITA,Antonio Ghiardello,1932,Rowing,Bronze
78827,ITA,Alberto Marco Giovanni Ghibellini,1996,Water Polo,Bronze
78831,ITA,Alessandro Ghibellini,1976,Water Polo,Silver
78833,ITA,Gianni Ghidini,1952,Cycling,Silver
78836,URU,Alfredo Juan Ghierra,1924,Football,Gold
78837,ITA,Romualdo Ghiglione,1920,Gymnastics,Gold
78838,ITA,Alberto Ghilardi,1932,Cycling,Gold
78851,ITA,Aldo Ghira,1948,Water Polo,Gold
78899,TUN,Habiba Al-Ghribi-Boudra,2012,Athletics,Silver
78907,KOR,Gi Seong-Yong,2012,Football,Bronze
78923,ITA,Massimo Giacoppo,2012,Water Polo,Silver
78940,SUI,Domenico Giambonini,1920,Shooting,Bronze
78960,ITA,Andrea Giani,1996,Volleyball,Silver
78961,ITA,Andrea Giani,2000,Volleyball,Bronze
78962,ITA,Andrea Giani,2004,Volleyball,Silver
78977,ITA,Simone Giannelli,2016,Volleyball,Silver
78988,GRE,"Spyridon ""Spyros"" Gianniotis",2016,Swimming,Silver
78991,ITA,Raffaello Giannoni,1906,Gymnastics,Bronze
79003,ITA,Lavinia Gianoni,1928,Gymnastics,Silver
79024,ITA,Luigina Giavotti,1928,Gymnastics,Silver
79025,GRE,Khristina Giazitzidou,2012,Rowing,Bronze
79027,BRA,"Gilberto Amauri ""Giba"" de Godoy Filho",2004,Volleyball,Gold
79028,BRA,"Gilberto Amauri ""Giba"" de Godoy Filho",2008,Volleyball,Silver
79029,BRA,"Gilberto Amauri ""Giba"" de Godoy Filho",2012,Volleyball,Silver
79041,GBR,Arthur William John Gibbon,1912,Cycling,Silver
79047,GBR,Gemma Jeanette Gibbons,2012,Judo,Silver
79052,USA,"John Haskell ""Tex"" Gibbons",1936,Basketball,Gold
79058,USA,"Robert Jerome ""Bob"" Gibe",1948,Swimming,Gold
79063,BEL,Franois Gibens,1920,Gymnastics,Silver
79073,ITA,Giuseppe Gibilisco,2004,Athletics,Bronze
79083,CAN,"William James ""Billy"" Gibson",1952,Ice Hockey,Gold
79095,GBR,"Catherine ""Cathie"" Gibson (-Brown)",1948,Swimming,Bronze
79101,CAN,Cheryl Ann Gibson (-Brokop),1976,Swimming,Silver
79106,CAN,Duff Gibson,2006,Skeleton,Gold
79107,USA,"Gregory P. ""Greg"" Gibson",1984,Wrestling,Silver
79120,AUS,Margaret Percival Gibson (-Messenger),1956,Swimming,Gold
79123,USA,Lois Michelle Gibson,1996,Equestrianism,Bronze
79125,CAN,"Robert Michael ""Rob"" Gibson",2012,Rowing,Silver
79136,USA,W. R. Gibson,1904,Lacrosse,Silver
79140,HUN,Csaba Giczy,1968,Canoeing,Silver
79141,HUN,Csaba Giczy,1968,Canoeing,Bronze
79145,USA,Rebecca Giddens,2004,Canoeing,Silver
79146,BUL,Borislav Krastev Gidikov,1988,Weightlifting,Gold
79152,LTU,Andrius Giedraitis,2000,Basketball,Bronze
79166,FRG,Eberhard Gienger,1976,Gymnastics,Bronze
79169,SUI,Markus Gier,1996,Rowing,Gold
79171,SUI,Michael Gier,1996,Rowing,Gold
79178,NOR,Robert Roach Giertsen,1920,Sailing,Gold
79182,FRG,Reiner Gies,1988,Boxing,Bronze
79184,GER,Dieter Gieseler,1960,Cycling,Silver
79189,USA,Merritt Hayward Giffin,1908,Athletics,Silver
79198,SUI,Albert Giger,1972,Cross Country Skiing,Bronze
79202,SUI,Daniel Giger,1972,Fencing,Silver
79204,SUI,Daniel Giger,1976,Fencing,Bronze
79210,ITA,Elena Gigli,2004,Water Polo,Gold
79227,PER,"Juan Jorge Giha Yarur, Jr.",1992,Shooting,Silver
79253,ESP,Laura Gil Collado,2016,Basketball,Silver
79256,ESP,"Ramn ""Moncho"" Gil Sequeiros",1920,Football,Silver
79261,ITA,Enrico Gilardi,1980,Basketball,Silver
79264,ARG,Juan Ignacio Gilardi,2016,Hockey,Gold
79266,ITA,Alberto Gilardino,2004,Football,Bronze
79268,FRA,Henri Joseph Marcel Gilardoni,1900,Sailing,Gold
79270,USA,"Alfred Carleton ""A. C."" Gilbert",1908,Athletics,Gold
79272,USA,"Bradley N. ""Brad"" Gilbert",1988,Tennis,Bronze
79277,USA,Edwin Fisher Eddie Gilbert,1948,Swimming,Gold
79285,CAN,Glenroy John Gilbert,1996,Athletics,Gold
79296,NOR,Willy Carl Jens Gilbert,1920,Sailing,Gold
79308,USA,Kaleigh Gilchrist,2016,Water Polo,Gold
79328,USA,"Virginia Anne  ""Ginny"" Gilder",1984,Rowing,Silver
79333,CAN,"Curtis Jon ""Curt"" Giles",1992,Ice Hockey,Silver
79335,AUS,David James Giles,1996,Sailing,Bronze
79350,CAN,"Stephen Cory ""Steve"" Giles",2000,Canoeing,Bronze
79388,GBR,Cyril William Gill,1928,Athletics,Bronze
79391,GBR,Frederick Agnew Gill,1900,Polo,Bronze
79401,CAN,Nicolas Gill,1992,Judo,Bronze
79403,CAN,Nicolas Gill,2000,Judo,Silver
79407,GBR,James Angus Gillan,1908,Rowing,Gold
79408,GBR,James Angus Gillan,1912,Rowing,Gold
79409,USA,"John David ""Dave"" Gillanders",1960,Swimming,Bronze
79410,USA,"John David ""Dave"" Gillanders",1960,Swimming,Gold
79424,FRA,Bertrand Fabien Gille,2008,Handball,Gold
79425,FRA,Bertrand Fabien Gille,2012,Handball,Gold
79428,GER,Christian Gille,2004,Canoeing,Gold
79429,GER,Christian Gille,2008,Canoeing,Bronze
79430,GER,Christian Gille,2008,Canoeing,Silver
79434,FRA,Guillaume Alain Gille,2008,Handball,Gold
79435,FRA,Guillaume Alain Gille,2012,Handball,Gold
79447,GBR,Thomas Cunningham Gillespie,1912,Rowing,Silver
79479,GBR,"Nicholas ""Nick"" Gillingham",1988,Swimming,Silver
79481,GBR,"Nicholas ""Nick"" Gillingham",1992,Swimming,Bronze
79488,CAN,Duncan Gillis,1912,Athletics,Silver
79501,GER,Erwin Gillmeister,1936,Athletics,Bronze
79503,FRA,Joseph Maurice Edgard Daniel Gillois,1936,Equestrianism,Silver
79504,USA,Jennifer Gillom,1988,Basketball,Gold
79524,USA,Ralph Albert Gilman,1936,Swimming,Silver
79525,BRA,Gilmar Lus Rinaldi,1984,Football,Silver
79526,BRA,"Augilmar ""Gilmar Popoca"" Silva de Oliveira",1984,Football,Silver
79535,USA,"Frederick Garfield ""Fred"" Gilmore",1904,Boxing,Bronze
79536,USA,William Evans Garrett Gilmore,1924,Rowing,Silver
79537,USA,William Evans Garrett Gilmore,1932,Rowing,Gold
79540,BEL,Matthew Gilmore,2000,Cycling,Silver
79545,AUS,Rebecca Ellen Gilmore (-Manuel),2000,Diving,Bronze
79551,FRA,Fabien Pierre Aurlien Dominique Gilot,2008,Swimming,Silver
79554,FRA,Fabien Pierre Aurlien Dominique Gilot,2012,Swimming,Gold
79555,FRA,Fabien Pierre Aurlien Dominique Gilot,2016,Swimming,Silver
79557,IRL,"Frederick ""Freddie"" Gilroy",1956,Boxing,Bronze
79562,URS,Nailya Fayzrakhmanovna Gilyazova,1976,Fencing,Gold
79564,URS,Nailya Fayzrakhmanovna Gilyazova,1980,Fencing,Silver
79577,ESP,Estela Gimnez Cid,1996,Rhythmic Gymnastics,Gold
79579,PAR,Pablo Jnior Gimnez,2004,Football,Silver
79588,GDR,Harald Gimpel,1972,Canoeing,Bronze
79611,ROU,Nicu Ging,1976,Wrestling,Silver
79613,GBR,Arthur Gingell,1908,Wrestling,Bronze
79632,AUS,Drew Cameron Ginn,1996,Rowing,Gold
79633,AUS,Drew Cameron Ginn,2004,Rowing,Gold
79634,AUS,Drew Cameron Ginn,2008,Rowing,Gold
79635,AUS,Drew Cameron Ginn,2012,Rowing,Silver
79637,ARG,"Emanuel David ""Manu"" Ginbili Maccari",2004,Basketball,Gold
79638,ARG,"Emanuel David ""Manu"" Ginbili Maccari",2008,Basketball,Bronze
79642,GER,Matthias Lukas Ginter,2016,Football,Silver
79647,SUI,Silvio Giobellina,1984,Bobsleigh,Bronze
79669,ITA,Salvatore Gionta,1952,Water Polo,Bronze
79670,ITA,Salvatore Gionta,1960,Water Polo,Gold
79672,ITA,Claudia Giordani,1976,Alpine Skiing,Silver
79716,URS,Mikheil Giorgadze,1988,Water Polo,Bronze
79719,ITA,Alex Giorgetti,2012,Water Polo,Silver
79721,ITA,"Francesco ""Franco"" Giorgetti",1920,Cycling,Gold
79731,ITA,Virginia Giorgi,1928,Gymnastics,Silver
79741,BRA,Giovane Farinazzo Gvio,1992,Volleyball,Gold
79744,BRA,Giovane Farinazzo Gvio,2004,Volleyball,Gold
79746,USA,"Gordon Stephen ""Gordy"" Giovanelli",1948,Rowing,Gold
79751,ITA,Luciano Giovannetti,1980,Shooting,Gold
79752,ITA,Luciano Giovannetti,1984,Shooting,Gold
79754,ITA,Marco Giovannetti,1984,Cycling,Gold
79772,ITA,Andrea Giovi,2012,Volleyball,Bronze
79773,ITA,Girolamo Giovinazzo,1996,Judo,Silver
79774,ITA,Girolamo Giovinazzo,2000,Judo,Bronze
79778,AUS,Graham Chater Gipson,1956,Athletics,Silver
79779,KOR,Gir Yeong-A,1992,Badminton,Bronze
79780,KOR,Gir Yeong-A,1996,Badminton,Gold
79781,KOR,Gir Yeong-A,1996,Badminton,Silver
79812,FRA,Roger Gaston Giran,1920,Rowing,Bronze
79814,CAN,Christine Girard,2012,Weightlifting,Bronze
79818,SUI,Pierre Girard,1960,Sailing,Bronze
79830,FRA,Patricia Girard-Lno,1996,Athletics,Bronze
79837,LUX,Marc Girardelli,1992,Alpine Skiing,Silver
79838,LUX,Marc Girardelli,1992,Alpine Skiing,Silver
79850,FRA,Robert William Girardet,1924,Sailing,Bronze
79857,ITA,Ulrico Girardi,1956,Bobsleigh,Silver
79866,FRA,Maurice Joseph Girardot,1948,Basketball,Silver
79867,FRA,Edmund Haydn Giraud,1906,Football,Silver
79868,FRA,"James ""Jim"" Giraud",1906,Football,Silver
79874,FRA,Olivier Damien Girault,2008,Handball,Gold
79876,AUS,Cameron Girdlestone,2016,Rowing,Silver
79880,FRA,Andr Giriat,1932,Rowing,Bronze
79892,ROU,Dan Grleanu,1980,Volleyball,Bronze
79893,ROU,Ion Grleteanu,1924,Rugby,Bronze
79918,MEX,Carlos Armando Girn Gutirrez,1980,Diving,Silver
79934,FRA,Auguste Paul Almire Giroux,1900,Rugby,Gold
79936,CAN,Mathieu Giroux,2010,Speed Skating,Gold
79959,SUI,Dominique Gisin,2014,Alpine Skiing,Gold
79982,NED,"Carolina Anna ""Lien"" Gisolf (-Verdam)",1928,Athletics,Silver
79997,URS,Leonid Davydovich Gissen,1952,Rowing,Silver
80004,RUS,Arsen Idrisovich Gitinov,2000,Wrestling,Silver
80008,RSA,"Christopher William ""Chris"" Gitsham",1912,Athletics,Silver
80017,ITA,Niccol Gitto,2012,Water Polo,Silver
80018,ITA,Niccol Gitto,2016,Water Polo,Bronze
80029,FRA,Jean-Pierre Giudicelli,1968,Modern Pentathlon,Bronze
80034,ITA,Odette Giuffrida,2016,Judo,Silver
80054,ROU,Elena Giurc,1976,Rowing,Bronze
80068,ITA,Luca Giustolisi,1996,Water Polo,Bronze
80069,IRI,Nasser Givehchi,1952,Wrestling,Silver
80073,UZB,Shakhram Dzhamshedovich Giyasov,2016,Boxing,Silver
80086,NOR,Egil Gjelland,1998,Biathlon,Silver
80090,NOR,Egil Gjelland,2002,Biathlon,Gold
80107,USA,"Douglas Seneca ""Doug"" Gjertsen",1988,Swimming,Gold
80108,USA,"Douglas Seneca ""Doug"" Gjertsen",1988,Swimming,Gold
80110,USA,"Douglas Seneca ""Doug"" Gjertsen",1992,Swimming,Bronze
80118,NOR,Alv Gjestvang,1956,Speed Skating,Bronze
80120,NOR,Alv Gjestvang,1964,Speed Skating,Silver
80125,IND,"Gerald Rudolph ""Gerry"" Glackan",1948,Hockey,Gold
80126,NOR,Thoralf Johan Glad,1912,Sailing,Gold
80129,GBR,Albert Charles Gladstone,1908,Rowing,Gold
80134,RUS,Svetlana Alekseyevna Gladysheva,1994,Alpine Skiing,Silver
80140,CAN,Jasmin Glaesser,2012,Cycling,Bronze
80141,CAN,Jasmin Glaesser,2016,Cycling,Bronze
80148,GER,Martina Glagow-Beck,2006,Biathlon,Silver
80150,GER,Martina Glagow-Beck,2006,Biathlon,Silver
80151,GER,Martina Glagow-Beck,2006,Biathlon,Silver
80153,GER,Martina Glagow-Beck,2010,Biathlon,Bronze
80154,GER,Klaus Glahn,1964,Judo,Bronze
80155,FRG,Klaus Glahn,1972,Judo,Silver
80162,USA,Harvey Edward Glance,1976,Athletics,Gold
80163,USA,"Harrison Smith ""Harry"" Glancy",1924,Swimming,Gold
80169,GBR,"Jonathan ""Joe"" Glanfield",2004,Sailing,Silver
80170,GBR,"Jonathan ""Joe"" Glanfield",2008,Sailing,Silver
80180,SUI,Fredy Glanzmann,1988,Nordic Combined,Silver
80188,GER,Harry Gla,1956,Ski Jumping,Bronze
80192,GDR,Henry Gla,1976,Ski Jumping,Bronze
80202,USA,Jay Glaser,1984,Sailing,Silver
80205,USA,"Sarah ""Pease"" Glaser (Herndon-)",2000,Sailing,Silver
80213,USA,Victor Wayne Glasgow,1952,Basketball,Gold
80214,USA,"Walter Merrill Glasgow, Jr.",1976,Sailing,Silver
80219,CRO,Josip Glasnovi,2016,Shooting,Gold
80221,USA,Alisha Rebecca Glass,2016,Volleyball,Bronze
80222,GDR,Bernhard Glass,1980,Luge,Gold
80223,USA,Herman Theobald Glass,1904,Gymnastics,Gold
80225,CAN,"Kenneth Gilbert ""Ken"" Glass",1932,Sailing,Bronze
80226,USA,"Kimberly Marie ""Kim"" Glass",2008,Volleyball,Silver
80227,SWE,Lars Bertil Glassr,1952,Canoeing,Silver
80233,RUS,Olga Vyacheslavovna Glatskikh,2004,Rhythmic Gymnastics,Gold
80240,USA,Troy Edward Glaus,1996,Baseball,Bronze
80241,FRA,Laura Glauser,2016,Handball,Silver
80243,CRO,Damir Glavan,1996,Water Polo,Silver
80244,ROU,Marcel Glvan,1996,Canoeing,Silver
80257,BLR,Anna Leonidovna Glazkova,2000,Rhythmic Gymnastics,Silver
80264,USA,Edward Francis Gleason,1912,Shooting,Gold
80279,USA,"Michael Daniel ""Mike"" Gleason",1904,Rowing,Gold
80280,USA,"Timothy Patrick ""Tim"" Gleason",2010,Ice Hockey,Silver
80303,GBR,Thomas Coats Glen Glen-Coats,1908,Sailing,Gold
80309,AUS,Brian Alan Glencross,1964,Hockey,Bronze
80310,AUS,Brian Alan Glencross,1968,Hockey,Silver
80314,USA,Dean William Glenesk,1984,Modern Pentathlon,Silver
80316,CAN,Brian Alexander Glennie,1968,Ice Hockey,Bronze
80346,BEL,Louis Edouard Albert Glineur,1900,Archery,Bronze
80354,ITA,Vittorio Gliubich,1924,Rowing,Bronze
80374,GER,Michael Glckner,1992,Cycling,Gold
80375,FRG,Margot Glockshuber,1968,Figure Skating,Bronze
80418,USA,"Edward Chester ""Ed"" Glover",1906,Athletics,Bronze
80422,GBR,Ernest Glover,1912,Athletics,Bronze
80423,GBR,Helen Rachel M. Glover,2012,Rowing,Gold
80424,GBR,Helen Rachel M. Glover,2016,Rowing,Gold
80426,CAN,"Stanley Brooks ""Stan"" Glover",1928,Athletics,Bronze
80427,URS,Lidiya Timofeyevna Glubokova,1980,Hockey,Bronze
80435,RUS,Andrey Valeryevich Glukhov,1996,Rowing,Bronze
80440,RUS,Aleksey Yuryevich Glushkov,2000,Wrestling,Bronze
80445,HUN,Gyula Glykais,1928,Fencing,Gold
80446,HUN,Gyula Glykais,1932,Fencing,Gold
80452,RUS,Nadezhda Sergeyevna Glyzina-Fedotova,2016,Water Polo,Bronze
80459,POL,Andrzej Gb,1988,Wrestling,Silver
80472,GBR,Charles Henry Stuart Gmelin,1896,Athletics,Bronze
80480,POL,Jan Wojciech Gmyrek,1976,Handball,Bronze
80481,GER,Serge David Gnabry,2016,Football,Silver
80497,GDR,Maxi Gnauck,1980,Gymnastics,Silver
80498,GDR,Maxi Gnauck,1980,Gymnastics,Bronze
80499,GDR,Maxi Gnauck,1980,Gymnastics,Bronze
80501,GDR,Maxi Gnauck,1980,Gymnastics,Gold
80506,FRA,Priscilla Gneto,2012,Judo,Bronze
80511,BEL,Charles Gniette,1920,Hockey,Bronze
80524,DEN,Kaj Svane Gnudtzmann,1906,Gymnastics,Silver
80525,KOR,Go Gi-Hyeon,2002,Short Track Speed Skating,Silver
80526,KOR,Go Gi-Hyeon,2002,Short Track Speed Skating,Gold
80545,KOR,Go Seok-Chang,1988,Handball,Silver
80557,KOR,Go Yeong-Min,2008,Baseball,Gold
80570,USA,Tessa Gobbo,2016,Rowing,Gold
80571,URS,Davit Gobejishvili,1988,Wrestling,Gold
80572,EUN,Davit Gobejishvili,1992,Wrestling,Bronze
80573,GER,Barbara Gbel (-Ballerstedt),1960,Swimming,Bronze
80576,NED,"Marius Jan ""Just"" Gbel",1912,Football,Bronze
80578,FRA,Henry Maurice Andr Gobert,1912,Tennis,Gold
80579,FRA,Henry Maurice Andr Gobert,1912,Tennis,Gold
80581,FRA,Cline Sandrine Francine Goberville,2012,Shooting,Silver
80587,FRA,Marcel Ren Gaspard Gobillot,1920,Cycling,Gold
80596,BEL,Flix Albert Goblet d'Alviella,1920,Fencing,Silver
80603,YUG,Igor Goanin,1988,Water Polo,Gold
80617,SRB,ivko Goci,2008,Water Polo,Bronze
80618,SRB,ivko Goci,2012,Water Polo,Bronze
80619,SRB,ivko Goci,2016,Water Polo,Gold
80642,GBR,"Beverley Lanita ""Bev"" Goddard-Callender",1980,Athletics,Bronze
80643,GBR,"Beverley Lanita ""Bev"" Goddard-Callender",1984,Athletics,Bronze
80649,BEL,Sbastien Godefroid,1996,Sailing,Silver
80653,BEL,Walter Godefroot,1964,Cycling,Bronze
80658,POL,Arkadiusz Godel,1972,Fencing,Gold
80660,SUI,Gaston G. Godel,1948,Athletics,Silver
80664,TCH,Tom Goder,1992,Ski Jumping,Bronze
80665,NED,Maartje Goderie,2008,Hockey,Gold
80666,NED,Maartje Goderie,2012,Hockey,Gold
80692,FRA,Herv Godignon,1992,Equestrianism,Bronze
80695,FRA,Elodie Godin,2012,Basketball,Silver
80697,USA,John Carl Godina,1996,Athletics,Silver
80699,USA,John Carl Godina,2000,Athletics,Bronze
80703,RUS,"Yelena Mikhaylovna ""Lena"" Godina",2000,Volleyball,Silver
80709,FRA,Victor Auguste Godinet,1900,Sailing,Silver
80710,FRA,Victor Auguste Godinet,1900,Sailing,Silver
80723,GER,Anton Gdrich,1896,Cycling,Silver
80731,GBR,"Thomas Charles ""Tommy"" Godwin",1948,Cycling,Bronze
80732,GBR,"Thomas Charles ""Tommy"" Godwin",1948,Cycling,Bronze
80737,USA,Timothy Richard Goebel,2002,Figure Skating,Bronze
80748,GER,Alfred Goeldel-Bronikoven,1912,Shooting,Silver
80749,GER,Alfred Goeldel-Bronikoven,1912,Shooting,Bronze
80752,GER,Horst Goeldel-Bronikoven,1912,Shooting,Bronze
80755,GER,Marc-Kevin Goellner,1996,Tennis,Bronze
80757,BEL,Adolphe Joseph Henri Goemaere,1920,Hockey,Bronze
80761,BEL,Daniel Goens,1968,Cycling,Bronze
80762,USA,"Nicholas ""Nick"" Goepper",2014,Freestyle Skiing,Bronze
80769,USA,"Oscar A. Goerke, Jr.",1904,Cycling,Silver
80773,GER,Lena Goeling,2016,Football,Gold
80774,USA,Augustus Michael Gus Goessling,1904,Water Polo,Bronze
80788,USA,Hugo Louis Goetz,1904,Swimming,Silver
80792,AUS,Taniele Gofers,2008,Water Polo,Bronze
80824,IRL,Oliver Joseph St. John Gogarty,1924,Art Competitions,Bronze
80827,ROU,Gina Elena Gogean (-Groza),1992,Gymnastics,Silver
80832,ROU,Gina Elena Gogean (-Groza),1996,Gymnastics,Silver
80833,ROU,Gina Elena Gogean (-Groza),1996,Gymnastics,Bronze
80835,ROU,Gina Elena Gogean (-Groza),1996,Gymnastics,Bronze
80837,ROU,Gina Elena Gogean (-Groza),1996,Gymnastics,Bronze
80848,URS,"Vladimer ""Lado"" Gogoladze",1988,Gymnastics,Gold
80855,URS,Leri Gogoladze,1960,Water Polo,Silver
